"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6281","Scenario 04: Empty password field","firefox","Fri Dec 19 10:24:54 UTC 2025","passed","Fri Dec 19 10:25:01 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","8447","Scenario 01: Valid credentials","firefox","Fri Dec 19 10:24:33 UTC 2025","passed","Fri Dec 19 10:24:41 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","5680","Scenario 05: Leading space in email","chromium","Fri Dec 19 10:24:15 UTC 2025","passed","Fri Dec 19 10:24:20 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","5674","Scenario 03: Invalid password","chromium","Fri Dec 19 10:24:04 UTC 2025","passed","Fri Dec 19 10:24:09 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","5463","Trendyol Home Page Test","firefox","Fri Dec 19 10:24:27 UTC 2025","passed","Fri Dec 19 10:24:32 UTC 2025","","homepage.spec.ts","",""
"","5629","Scenario 06: Trailing space in email","chromium","Fri Dec 19 10:24:20 UTC 2025","passed","Fri Dec 19 10:24:26 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","6416","Scenario 05: Leading space in email","firefox","Fri Dec 19 10:25:01 UTC 2025","passed","Fri Dec 19 10:25:07 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","6390","Scenario 06: Trailing space in email","firefox","Fri Dec 19 10:25:07 UTC 2025","passed","Fri Dec 19 10:25:13 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","6567","Scenario 03: Invalid password","firefox","Fri Dec 19 10:24:48 UTC 2025","passed","Fri Dec 19 10:24:54 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","5324","Scenario 04: Empty password field","chromium","Fri Dec 19 10:24:09 UTC 2025","passed","Fri Dec 19 10:24:15 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","5554","Scenario 02: Invalid email","chromium","Fri Dec 19 10:23:58 UTC 2025","passed","Fri Dec 19 10:24:04 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","6547","Scenario 02: Invalid email","firefox","Fri Dec 19 10:24:41 UTC 2025","passed","Fri Dec 19 10:24:48 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","7296","Scenario 01: Valid credentials","chromium","Fri Dec 19 10:23:51 UTC 2025","passed","Fri Dec 19 10:23:58 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","4475","Trendyol Home Page Test","chromium","Fri Dec 19 10:23:45 UTC 2025","passed","Fri Dec 19 10:23:49 UTC 2025","","homepage.spec.ts","",""
